"core-api-2021-12-07","all-2021.12.08-17:26:32.127"
"core-api-2021-12-08","all-2021.12.09-03:40:04.068"
"core-api-2021-12-09","all-2021.12.10-03:36:37.108"
"core-api-2021-12-10","all-2021.12.11-03:38:29.942"
"core-api-2021-12-11","all-2021.12.12-03:31:04.771"
"core-api-2021-12-12","all-2021.12.13-03:33:04.771"
"core-api-2021-12-13","all-2021.12.14-03:31:26.298"
"core-api-2021-12-14","all-2021.12.15-03:40:55.963"
"core-api-2021-12-15","all-2021.12.16-03:30:59.315"
"core-api-2021-12-16","all-2021.12.17-03:45:34.216"
"core-api-2021-12-17","all-2021.12.18-03:43:05.497"
"core-api-2021-12-18","all-2021.12.19-03:46:13.935"
"core-api-2021-12-19","all-2021.12.20-03:47:35.704"
"core-api-2021-12-20","all-2021.12.21-03:33:03.912"
"core-api-2021-12-21","all-2021.12.22-03:38:14.452"
"core-api-2021-12-22","all-2021.12.23-03:32:08.112"
"core-api-2021-12-23","all-2021.12.24-03:38:26.401"
"core-api-2021-12-24","all-2021.12.25-03:36:55.652"
"core-api-2021-12-25","all-2021.12.26-03:34:44.423"
"core-api-2021-12-26","all-2021.12.27-03:42:25.896"
"core-api-2021-12-27","all-2021.12.28-03:44:46.034"
"core-api-2021-12-28","all-2021.12.29-03:46:20.181"
"core-api-2021-12-29","all-2021.12.30-03:39:03.346"
"core-api-2021-12-30","all-2021.12.31-03:32:24.489"
"core-api-2021-12-31","all-2022.01.01-03:35:04.557"
"core-api-2022-01-01","all-2022.01.02-03:36:24.823"
"core-api-2022-01-02","all-2022.01.03-03:40:44.084"
"core-api-2022-01-03","all-2022.01.04-03:36:57.863"
"core-api-2022-01-04","all-2022.01.05-03:41:24.971"
"core-api-2022-01-05","all-2022.01.06-03:40:27.854"
"core-api-2022-01-06","all-2022.01.07-03:30:56.195"
"core-api-2022-01-07","all-2022.01.08-03:39:22.467"
"core-api-2022-01-08","all-2022.01.09-03:41:42.825"
"core-api-2022-01-09","all-2022.01.10-03:42:52.743"
"core-api-2022-01-10","all-2022.01.11-03:41:03.809"
"core-api-2022-01-11","all-2022.01.12-03:38:12.078"
"core-api-2022-01-12","all-2022.01.13-03:32:13.510"
"core-api-2022-01-13","all-2022.01.14-03:30:35.419"
"core-api-2022-01-14","all-2022.01.15-03:30:33.770"
"core-api-2022-01-15","all-2022.01.16-03:44:43.011"
